title;artist;album;isrc;addedDate;addedBy;duration;url
"Ain't My Last Dance";"Five Finger Death Punch";"Got Your Six";US5Z51500625;;;209s;http://www.tidal.com/track/154741261
"My Nemesis";"Five Finger Death Punch";"Got Your Six";US5Z51500626;;;216s;http://www.tidal.com/track/154741262
"No Sudden Movement";"Five Finger Death Punch";"Got Your Six";US5Z51500627;;;201s;http://www.tidal.com/track/154741263
"Question Everything";"Five Finger Death Punch";"Got Your Six";US5Z51500628;;;306s;http://www.tidal.com/track/154741264
"Hell to Pay";"Five Finger Death Punch";"A Decade of Destruction, Vol.2";US5Z51500629;;;188s;http://www.tidal.com/track/155332796
"Digging My Own Grave";"Five Finger Death Punch";"Got Your Six";US5Z51500630;;;227s;http://www.tidal.com/track/154741266
"Meet My Maker";"Five Finger Death Punch";"Got Your Six";US5Z51500631;;;180s;http://www.tidal.com/track/154741267
"Boots and Blood";"Five Finger Death Punch";"Got Your Six";US5Z51500632;;;166s;http://www.tidal.com/track/154741268
"You're Not My Kind";"Five Finger Death Punch";"Got Your Six (Deluxe)";US5Z51500633;;;201s;http://www.tidal.com/track/154741303
"This Is My War";"Five Finger Death Punch";"Got Your Six (Deluxe)";US5Z51500634;;;175s;http://www.tidal.com/track/154741304
"I Apologize";"Five Finger Death Punch";"A Decade of Destruction";US5Z51500635;;;243s;http://www.tidal.com/track/154751904
Trouble;"Five Finger Death Punch";"A Decade of Destruction";TCADH1751372;;;192s;http://www.tidal.com/track/154751896
Fake;"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800001;;;211s;http://www.tidal.com/track/154747762
"Top of the World";"Five Finger Death Punch";"And Justice for None";US5Z51800003;;;162s;http://www.tidal.com/track/154745107
"Sham Pain";"Five Finger Death Punch";"And Justice for None";US5Z51800005;;;210s;http://www.tidal.com/track/154745108
"Blue on Black";"Five Finger Death Punch";"And Justice for None";US5Z51800007;;;275s;http://www.tidal.com/track/154745109
"Fire in the Hole";"Five Finger Death Punch";"And Justice for None";US5Z51800009;;;177s;http://www.tidal.com/track/154745110
"I Refuse";"Five Finger Death Punch";"And Justice for None";US5Z51800011;;;219s;http://www.tidal.com/track/154745111
"It Doesn't Matter";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800013;;;226s;http://www.tidal.com/track/154747768
"When the Seasons Change";"Five Finger Death Punch";"And Justice for None";US5Z51800015;;;227s;http://www.tidal.com/track/154745113
"Stuck in My Ways";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800017;;;237s;http://www.tidal.com/track/154747770
"Rock Bottom";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800019;;;152s;http://www.tidal.com/track/154747771
"Gone Away";"Five Finger Death Punch";"And Justice for None";TCADH1751905;;;275s;http://www.tidal.com/track/154745116
Bloody;"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800021;;;229s;http://www.tidal.com/track/154747773
"Will the Sun Ever Rise";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800023;;;236s;http://www.tidal.com/track/154747774
"Bad Seed";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800025;;;239s;http://www.tidal.com/track/154747775
"Save Your Breath";"Five Finger Death Punch";"And Justice for None (Deluxe)";US5Z51800027;;;207s;http://www.tidal.com/track/154747776
"Bossa Antigua";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403082;;;228s;http://www.tidal.com/track/77674776
"Corcovado (Quiet Nights Of Quiet Stars)";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403083;;;450s;http://www.tidal.com/track/77674777
"Bossa Réal";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403084;;;456s;http://www.tidal.com/track/77674778
"Brazilian Nights";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403085;;;392s;http://www.tidal.com/track/77674779
"April Rain";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403086;;;408s;http://www.tidal.com/track/77674780
"Menina Moca";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403087;;;357s;http://www.tidal.com/track/77674781
"Bu Bossa";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403088;;;265s;http://www.tidal.com/track/77674782
Clouds;"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403089;;;337s;http://www.tidal.com/track/77674783
"Girl From Ipanema";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403090;;;333s;http://www.tidal.com/track/77674784
"Summer Love";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403091;;;374s;http://www.tidal.com/track/77674785
"Loving You";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403170;;;202s;http://www.tidal.com/track/77674786
"G Bop";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403171;;;258s;http://www.tidal.com/track/77674787
"Forever In Love";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403172;;;341s;http://www.tidal.com/track/77674788
"Heart And Soul";"Kenny G";"Brazilian Nights (Deluxe Edition)";USC4R1403175;;;281s;http://www.tidal.com/track/77674789
"It's the Most Wonderful Time of the Year";"Vincent Ingala";Christmas;USHM81639387;;;174s;http://www.tidal.com/track/66809015
"The Christmas Song";"Vincent Ingala";Christmas;USHM81639388;;;194s;http://www.tidal.com/track/66809016
